A,B,C,D,E,F,G
H,O_Um421,699,MIYDBATFLODBRRA,2296,171,WOTRJPNMGQSJCKW
C,X_MM42e,368,HXUBRLHKGOBUJKR,1918,197,BNSCSXOJWAFTTVS
E,K_12M34,305,USKWCWUANJKSPOV,3455,209,OXMMZOZDYYWVGJG
B,T_Fe134,562,VNGWSFSNSIAFCGD,4562,153,OLNSTYUIIIGYSSL
E,K_12M34,650,UWIGXJDOHPGZKOC,2522,112,INOMZYINCCISUCQ
K,R_NFT36,84,HLLIUTIMRUMRQDK,3960,179,PKOSWZVLMXMTLZW
H,O_Um421,952,VURNASZCCMBGFMH,3653,208,DPQLFVEHBGGKXGX
F,T_xEfV1,518,FOLRHQUMXSELBYM,3868,112,INOMZYINCCISUCQ
H,O_Um421,404,GUJKMIZNEXIEPZE,4505,162,KAQZSSKPPWRORYW
C,X_MM42e,810,PGYACUGIRYNMCBE,2688,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,368,HXUBRLHKGOBUJKR,1623,198,UHNHONUHHZTFLGT
K,R_NFT36,889,GMPOFQSNXAFECJD,1878,181,CBKMUWJEKWNROTY
H,O_Um421,643,HOSFKFOMXMCHXPL,2696,215,QWJKGTTBATEWAHN
A,X_10fMM,838,ZLOCESNXHIZOOUL,2008,179,PKOSWZVLMXMTLZW
A,X_10fMM,150,EPGRUBMPZPBYLHC,2379,208,DPQLFVEHBGGKXGX
H,O_Um421,379,TUHOMJTPLRKEYQA,1200,208,DPQLFVEHBGGKXGX
K,R_NFT36,491,HWIQNNMEKJRBPGP,2772,112,INOMZYINCCISUCQ
E,K_12M34,810,PGYACUGIRYNMCBE,1741,112,INOMZYINCCISUCQ
B,T_Fe134,659,SDHVERSRFEVGPNA,1110,162,KAQZSSKPPWRORYW
G,U_oAo12,390,CHVNCVKDEMWMRPE,3333,209,OXMMZOZDYYWVGJG
E,K_12M34,337,GWZQDWLWEPCDWMX,1609,198,UHNHONUHHZTFLGT
A,X_10fMM,859,DYGGIROHJBJBGMC,4461,198,UHNHONUHHZTFLGT
B,T_Fe134,27,FCHGPOTLBXXKTOB,4464,215,QWJKGTTBATEWAHN
B,T_Fe134,550,JHDHDSBRIXPFYZF,3299,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,550,JHDHDSBRIXPFYZF,4308,197,BNSCSXOJWAFTTVS
H,O_Um421,159,KBCJRMNZUDVGIQH,2215,181,CBKMUWJEKWNROTY
H,O_Um421,419,OHXGDSVDHPGJGAO,4124,209,OXMMZOZDYYWVGJG
K,R_NFT36,889,GMPOFQSNXAFECJD,2125,149,BGRMWMMUMEFOBGL
A,X_10fMM,967,SHRIEJKCRXAXKPY,2340,197,BNSCSXOJWAFTTVS
B,T_Fe134,758,CDSHIUCJMSVSCEJ,4047,171,WOTRJPNMGQSJCKW
A,X_10fMM,889,GMPOFQSNXAFECJD,2782,162,KAQZSSKPPWRORYW
A,X_10fMM,441,IYRXKIAZTRFRADI,3076,179,PKOSWZVLMXMTLZW
K,R_NFT36,755,XIBUOKRQGJCFFMG,4709,112,INOMZYINCCISUCQ
B,T_Fe134,990,JAHPMDXMTWJIEDT,4525,215,QWJKGTTBATEWAHN
B,T_Fe134,379,TUHOMJTPLRKEYQA,3189,210,LCZQWSYFTCTBQUI
A,X_10fMM,100,KHVFQKBBTJPBMQP,2726,181,CBKMUWJEKWNROTY
G,U_oAo12,755,XIBUOKRQGJCFFMG,3973,153,OLNSTYUIIIGYSSL
B,T_Fe134,725,PXGPTCHULHWPELF,3706,209,OXMMZOZDYYWVGJG
F,T_xEfV1,15,VCQKRGUMIWDESRW,2685,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,100,KHVFQKBBTJPBMQP,3746,171,WOTRJPNMGQSJCKW
F,T_xEfV1,14,OOMARJWTOWJFXLM,3244,198,UHNHONUHHZTFLGT
E,K_12M34,441,IYRXKIAZTRFRADI,4900,153,OLNSTYUIIIGYSSL
H,O_Um421,967,SHRIEJKCRXAXKPY,2015,197,BNSCSXOJWAFTTVS
H,O_Um421,967,SHRIEJKCRXAXKPY,1323,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,659,SDHVERSRFEVGPNA,1869,215,QWJKGTTBATEWAHN
E,K_12M34,431,PGRSPDOMBBGLRYP,3266,171,WOTRJPNMGQSJCKW
G,U_oAo12,889,GMPOFQSNXAFECJD,3058,210,LCZQWSYFTCTBQUI
E,K_12M34,662,ODFURYFINNMQPUJ,3070,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,441,IYRXKIAZTRFRADI,3371,209,OXMMZOZDYYWVGJG
H,O_Um421,929,MZZSOCSUGSTUXPF,2537,181,CBKMUWJEKWNROTY
E,K_12M34,859,DYGGIROHJBJBGMC,1193,121,WWICVCDUHUKZAWN
D,Y_A13Fm,643,HOSFKFOMXMCHXPL,4239,153,OLNSTYUIIIGYSSL
E,K_12M34,940,XQCNPCOHYWSQVFY,1125,215,QWJKGTTBATEWAHN
H,O_Um421,60,QEBBIPDXWRCHGSK,2373,208,DPQLFVEHBGGKXGX
C,X_MM42e,136,ABVXFPLEMVOTBRQ,3880,197,BNSCSXOJWAFTTVS
A,X_10fMM,240,CFSPXFBIYSITKUE,4405,215,QWJKGTTBATEWAHN
K,R_NFT36,307,ILISBJAVSODTASL,3932,209,OXMMZOZDYYWVGJG
H,O_Um421,952,VURNASZCCMBGFMH,3676,174,JIBGCETMMPEQHUC
G,U_oAo12,441,IYRXKIAZTRFRADI,4778,112,INOMZYINCCISUCQ
A,X_10fMM,289,QRSBLITQOKOCXNM,2517,153,OLNSTYUIIIGYSSL
C,X_MM42e,518,FOLRHQUMXSELBYM,1377,162,KAQZSSKPPWRORYW
B,T_Fe134,213,AZVXUIYPGMHNZXJ,4057,171,WOTRJPNMGQSJCKW
E,K_12M34,384,NDGVSOYSBRMIQLD,4303,208,DPQLFVEHBGGKXGX
B,T_Fe134,136,ABVXFPLEMVOTBRQ,4098,209,OXMMZOZDYYWVGJG
B,T_Fe134,725,PXGPTCHULHWPELF,3228,174,JIBGCETMMPEQHUC
B,T_Fe134,14,OOMARJWTOWJFXLM,2615,153,OLNSTYUIIIGYSSL
C,X_MM42e,647,PNAWBSQVYHBMFPO,3358,208,DPQLFVEHBGGKXGX
G,U_oAo12,431,PGRSPDOMBBGLRYP,1866,209,OXMMZOZDYYWVGJG
G,U_oAo12,200,MLDOIVPFVDRVMRR,1617,181,CBKMUWJEKWNROTY
B,T_Fe134,523,MLBHTRWIKRCOCYV,1759,121,WWICVCDUHUKZAWN
K,R_NFT36,863,YEESBRKROXSGSQS,1950,181,CBKMUWJEKWNROTY
E,K_12M34,810,PGYACUGIRYNMCBE,2568,171,WOTRJPNMGQSJCKW
F,T_xEfV1,138,WWWKZNUKKOCVLDA,3626,171,WOTRJPNMGQSJCKW
B,T_Fe134,443,LLWUUQCYEXLUAIB,1716,121,WWICVCDUHUKZAWN
C,X_MM42e,404,GUJKMIZNEXIEPZE,2241,215,QWJKGTTBATEWAHN
B,T_Fe134,697,GHVMMFKKKMDGWBO,4152,121,WWICVCDUHUKZAWN
K,R_NFT36,595,TBAWQGLWABDNIIX,2241,153,OLNSTYUIIIGYSSL
A,X_10fMM,60,QEBBIPDXWRCHGSK,2191,153,OLNSTYUIIIGYSSL
B,T_Fe134,458,DZGZSRGUYGDHDIX,3227,198,UHNHONUHHZTFLGT
F,T_xEfV1,606,RRRGXLFJSGOHCYW,3573,209,OXMMZOZDYYWVGJG
F,T_xEfV1,91,RALPDQBXBDJTNPW,3345,121,WWICVCDUHUKZAWN
E,K_12M34,595,TBAWQGLWABDNIIX,3773,153,OLNSTYUIIIGYSSL
C,X_MM42e,699,MIYDBATFLODBRRA,4035,197,BNSCSXOJWAFTTVS
C,X_MM42e,441,IYRXKIAZTRFRADI,1283,153,OLNSTYUIIIGYSSL
E,K_12M34,163,WJEQCQKJKVCRYMJ,4742,174,JIBGCETMMPEQHUC
E,K_12M34,213,AZVXUIYPGMHNZXJ,3144,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,368,HXUBRLHKGOBUJKR,4536,197,BNSCSXOJWAFTTVS
A,X_10fMM,758,CDSHIUCJMSVSCEJ,3207,198,UHNHONUHHZTFLGT
B,T_Fe134,125,RVFYFMPWBZNWCQK,1159,112,INOMZYINCCISUCQ
B,T_Fe134,827,HBCWMFSNHTNNSOF,4937,121,WWICVCDUHUKZAWN
G,U_oAo12,643,HOSFKFOMXMCHXPL,2795,215,QWJKGTTBATEWAHN
F,T_xEfV1,643,HOSFKFOMXMCHXPL,3534,208,DPQLFVEHBGGKXGX
C,X_MM42e,27,FCHGPOTLBXXKTOB,2971,162,KAQZSSKPPWRORYW
F,T_xEfV1,60,QEBBIPDXWRCHGSK,1035,149,BGRMWMMUMEFOBGL
E,K_12M34,150,EPGRUBMPZPBYLHC,4414,210,LCZQWSYFTCTBQUI
C,X_MM42e,582,VIYZJRMURLLANOL,2924,174,JIBGCETMMPEQHUC
E,K_12M34,842,GSZBCXTCEOPTAFO,1066,171,WOTRJPNMGQSJCKW
G,U_oAo12,491,HWIQNNMEKJRBPGP,3071,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,368,HXUBRLHKGOBUJKR,2416,149,BGRMWMMUMEFOBGL
A,X_10fMM,113,JXFGSVBQNNEUMCJ,2081,162,KAQZSSKPPWRORYW
E,K_12M34,967,SHRIEJKCRXAXKPY,3815,153,OLNSTYUIIIGYSSL
B,T_Fe134,650,UWIGXJDOHPGZKOC,4604,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,595,TBAWQGLWABDNIIX,4873,112,INOMZYINCCISUCQ
H,O_Um421,289,QRSBLITQOKOCXNM,1704,210,LCZQWSYFTCTBQUI
F,T_xEfV1,305,USKWCWUANJKSPOV,2389,112,INOMZYINCCISUCQ
C,X_MM42e,295,EDJEGYBIQYVBXOA,2830,121,WWICVCDUHUKZAWN
F,T_xEfV1,852,WJILXXFLHVEIIVG,4941,149,BGRMWMMUMEFOBGL
K,R_NFT36,347,PAVNWKHMTBVVNWB,4261,210,LCZQWSYFTCTBQUI
K,R_NFT36,27,FCHGPOTLBXXKTOB,1579,121,WWICVCDUHUKZAWN
A,X_10fMM,419,OHXGDSVDHPGJGAO,4839,121,WWICVCDUHUKZAWN
F,T_xEfV1,240,CFSPXFBIYSITKUE,1053,171,WOTRJPNMGQSJCKW
H,O_Um421,96,TDGZPEQTLFGJQCV,1835,162,KAQZSSKPPWRORYW
B,T_Fe134,368,HXUBRLHKGOBUJKR,2880,210,LCZQWSYFTCTBQUI
G,U_oAo12,96,TDGZPEQTLFGJQCV,4671,198,UHNHONUHHZTFLGT
K,R_NFT36,379,TUHOMJTPLRKEYQA,1203,208,DPQLFVEHBGGKXGX
G,U_oAo12,842,GSZBCXTCEOPTAFO,1307,162,KAQZSSKPPWRORYW
E,K_12M34,419,OHXGDSVDHPGJGAO,3866,209,OXMMZOZDYYWVGJG
C,X_MM42e,20,ILQLMBISHNQTVFK,2837,174,JIBGCETMMPEQHUC
H,O_Um421,712,IKOPSJGARBTCQLY,2559,171,WOTRJPNMGQSJCKW
E,K_12M34,662,ODFURYFINNMQPUJ,3208,181,CBKMUWJEKWNROTY
C,X_MM42e,390,CHVNCVKDEMWMRPE,1286,149,BGRMWMMUMEFOBGL
C,X_MM42e,785,RPCNHBECGNSCRLO,4972,179,PKOSWZVLMXMTLZW
E,K_12M34,842,GSZBCXTCEOPTAFO,4903,181,CBKMUWJEKWNROTY
G,U_oAo12,606,RRRGXLFJSGOHCYW,3829,162,KAQZSSKPPWRORYW
B,T_Fe134,47,GVWFISHPCDXNRVU,4520,198,UHNHONUHHZTFLGT
C,X_MM42e,54,EYDZXNGJGPZNZVI,2939,179,PKOSWZVLMXMTLZW
C,X_MM42e,368,HXUBRLHKGOBUJKR,2430,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,650,UWIGXJDOHPGZKOC,4111,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,149,LFUFLBFHQUOERLG,4363,153,OLNSTYUIIIGYSSL
H,O_Um421,863,YEESBRKROXSGSQS,4012,162,KAQZSSKPPWRORYW
C,X_MM42e,305,USKWCWUANJKSPOV,3931,210,LCZQWSYFTCTBQUI
F,T_xEfV1,952,VURNASZCCMBGFMH,4063,121,WWICVCDUHUKZAWN
F,T_xEfV1,643,HOSFKFOMXMCHXPL,2660,198,UHNHONUHHZTFLGT
G,U_oAo12,990,JAHPMDXMTWJIEDT,4314,112,INOMZYINCCISUCQ
H,O_Um421,606,RRRGXLFJSGOHCYW,3248,171,WOTRJPNMGQSJCKW
G,U_oAo12,582,VIYZJRMURLLANOL,3944,162,KAQZSSKPPWRORYW
A,X_10fMM,295,EDJEGYBIQYVBXOA,4820,210,LCZQWSYFTCTBQUI
F,T_xEfV1,113,JXFGSVBQNNEUMCJ,4741,112,INOMZYINCCISUCQ
D,Y_A13Fm,177,MZXEXJZPBWCTOXL,2492,162,KAQZSSKPPWRORYW
K,R_NFT36,431,PGRSPDOMBBGLRYP,1241,174,JIBGCETMMPEQHUC
K,R_NFT36,14,OOMARJWTOWJFXLM,3042,215,QWJKGTTBATEWAHN
F,T_xEfV1,595,TBAWQGLWABDNIIX,2693,197,BNSCSXOJWAFTTVS
A,X_10fMM,647,PNAWBSQVYHBMFPO,3643,197,BNSCSXOJWAFTTVS
B,T_Fe134,100,KHVFQKBBTJPBMQP,4017,149,BGRMWMMUMEFOBGL
C,X_MM42e,163,WJEQCQKJKVCRYMJ,2518,197,BNSCSXOJWAFTTVS
H,O_Um421,810,PGYACUGIRYNMCBE,3826,197,BNSCSXOJWAFTTVS
H,O_Um421,515,JHSFUSBMABVPPJH,3698,198,UHNHONUHHZTFLGT
D,Y_A13Fm,125,RVFYFMPWBZNWCQK,4245,174,JIBGCETMMPEQHUC
C,X_MM42e,662,ODFURYFINNMQPUJ,2691,181,CBKMUWJEKWNROTY
F,T_xEfV1,758,CDSHIUCJMSVSCEJ,1123,198,UHNHONUHHZTFLGT
E,K_12M34,760,AIUYMMHXMPOYHJJ,3566,162,KAQZSSKPPWRORYW
H,O_Um421,441,IYRXKIAZTRFRADI,4737,208,DPQLFVEHBGGKXGX
B,T_Fe134,368,HXUBRLHKGOBUJKR,2768,209,OXMMZOZDYYWVGJG
K,R_NFT36,377,UHIWXYBDZCQDMBW,2474,171,WOTRJPNMGQSJCKW
B,T_Fe134,159,KBCJRMNZUDVGIQH,3261,181,CBKMUWJEKWNROTY
F,T_xEfV1,49,CPIEOLOBXRARHBO,3255,198,UHNHONUHHZTFLGT
C,X_MM42e,842,GSZBCXTCEOPTAFO,1678,162,KAQZSSKPPWRORYW
G,U_oAo12,413,BYLODPSXBFMLHFU,1691,197,BNSCSXOJWAFTTVS
B,T_Fe134,810,PGYACUGIRYNMCBE,1685,179,PKOSWZVLMXMTLZW
F,T_xEfV1,200,MLDOIVPFVDRVMRR,4931,215,QWJKGTTBATEWAHN
C,X_MM42e,307,ILISBJAVSODTASL,2938,112,INOMZYINCCISUCQ
K,R_NFT36,307,ILISBJAVSODTASL,1374,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,113,JXFGSVBQNNEUMCJ,3692,198,UHNHONUHHZTFLGT
F,T_xEfV1,84,HLLIUTIMRUMRQDK,3010,215,QWJKGTTBATEWAHN
D,Y_A13Fm,643,HOSFKFOMXMCHXPL,3364,174,JIBGCETMMPEQHUC
E,K_12M34,546,AASZXWXFJTNTKNX,4180,121,WWICVCDUHUKZAWN
E,K_12M34,14,OOMARJWTOWJFXLM,4339,121,WWICVCDUHUKZAWN
G,U_oAo12,699,MIYDBATFLODBRRA,4021,181,CBKMUWJEKWNROTY
D,Y_A13Fm,838,ZLOCESNXHIZOOUL,2002,174,JIBGCETMMPEQHUC
D,Y_A13Fm,672,LTFQSCEYRBVKUAP,3878,215,QWJKGTTBATEWAHN
A,X_10fMM,148,NOCWJPTSKUMKXVK,2652,215,QWJKGTTBATEWAHN
E,K_12M34,863,YEESBRKROXSGSQS,2191,181,CBKMUWJEKWNROTY
A,X_10fMM,952,VURNASZCCMBGFMH,3642,174,JIBGCETMMPEQHUC
D,Y_A13Fm,650,UWIGXJDOHPGZKOC,1545,179,PKOSWZVLMXMTLZW
K,R_NFT36,699,MIYDBATFLODBRRA,1564,181,CBKMUWJEKWNROTY
F,T_xEfV1,347,PAVNWKHMTBVVNWB,3857,215,QWJKGTTBATEWAHN
K,R_NFT36,760,AIUYMMHXMPOYHJJ,3935,162,KAQZSSKPPWRORYW
K,R_NFT36,502,UYCUSOYWJOOGNSE,4798,179,PKOSWZVLMXMTLZW
B,T_Fe134,550,JHDHDSBRIXPFYZF,1925,181,CBKMUWJEKWNROTY
F,T_xEfV1,163,WJEQCQKJKVCRYMJ,4034,197,BNSCSXOJWAFTTVS
F,T_xEfV1,213,AZVXUIYPGMHNZXJ,1459,162,KAQZSSKPPWRORYW
H,O_Um421,390,CHVNCVKDEMWMRPE,1141,197,BNSCSXOJWAFTTVS
F,T_xEfV1,662,ODFURYFINNMQPUJ,4421,209,OXMMZOZDYYWVGJG
E,K_12M34,47,GVWFISHPCDXNRVU,2240,208,DPQLFVEHBGGKXGX
K,R_NFT36,826,GJBZRUMIQLQFNCZ,3739,215,QWJKGTTBATEWAHN
F,T_xEfV1,289,QRSBLITQOKOCXNM,1490,149,BGRMWMMUMEFOBGL
H,O_Um421,697,GHVMMFKKKMDGWBO,2501,112,INOMZYINCCISUCQ
C,X_MM42e,491,HWIQNNMEKJRBPGP,2792,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,674,AFNIOPRUNAKVQOO,2456,162,KAQZSSKPPWRORYW
K,R_NFT36,54,EYDZXNGJGPZNZVI,2188,174,JIBGCETMMPEQHUC
H,O_Um421,729,LJGOQBMPLTAWZHD,2317,208,DPQLFVEHBGGKXGX
E,K_12M34,91,RALPDQBXBDJTNPW,3725,162,KAQZSSKPPWRORYW
G,U_oAo12,136,ABVXFPLEMVOTBRQ,4267,209,OXMMZOZDYYWVGJG
C,X_MM42e,14,OOMARJWTOWJFXLM,3039,149,BGRMWMMUMEFOBGL
E,K_12M34,54,EYDZXNGJGPZNZVI,4142,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,659,SDHVERSRFEVGPNA,1768,153,OLNSTYUIIIGYSSL
B,T_Fe134,125,RVFYFMPWBZNWCQK,3033,121,WWICVCDUHUKZAWN
E,K_12M34,852,WJILXXFLHVEIIVG,2945,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,368,HXUBRLHKGOBUJKR,3724,153,OLNSTYUIIIGYSSL
F,T_xEfV1,240,CFSPXFBIYSITKUE,2867,208,DPQLFVEHBGGKXGX
G,U_oAo12,990,JAHPMDXMTWJIEDT,4141,208,DPQLFVEHBGGKXGX
C,X_MM42e,550,JHDHDSBRIXPFYZF,1918,181,CBKMUWJEKWNROTY
K,R_NFT36,347,PAVNWKHMTBVVNWB,4056,179,PKOSWZVLMXMTLZW
B,T_Fe134,159,KBCJRMNZUDVGIQH,1379,162,KAQZSSKPPWRORYW
B,T_Fe134,347,PAVNWKHMTBVVNWB,4001,162,KAQZSSKPPWRORYW
A,X_10fMM,14,OOMARJWTOWJFXLM,3478,197,BNSCSXOJWAFTTVS
E,K_12M34,38,IORHSTMRDEJEBPU,3965,181,CBKMUWJEKWNROTY
K,R_NFT36,16,KAMABLMDNQXPNDU,2255,174,JIBGCETMMPEQHUC
K,R_NFT36,240,CFSPXFBIYSITKUE,1757,208,DPQLFVEHBGGKXGX
E,K_12M34,419,OHXGDSVDHPGJGAO,2363,181,CBKMUWJEKWNROTY
B,T_Fe134,755,XIBUOKRQGJCFFMG,1262,197,BNSCSXOJWAFTTVS
G,U_oAo12,136,ABVXFPLEMVOTBRQ,2717,112,INOMZYINCCISUCQ
A,X_10fMM,337,GWZQDWLWEPCDWMX,4023,181,CBKMUWJEKWNROTY
K,R_NFT36,842,GSZBCXTCEOPTAFO,4817,112,INOMZYINCCISUCQ
G,U_oAo12,650,UWIGXJDOHPGZKOC,2720,112,INOMZYINCCISUCQ
A,X_10fMM,200,MLDOIVPFVDRVMRR,2519,153,OLNSTYUIIIGYSSL
F,T_xEfV1,138,WWWKZNUKKOCVLDA,4944,121,WWICVCDUHUKZAWN
H,O_Um421,758,CDSHIUCJMSVSCEJ,2631,215,QWJKGTTBATEWAHN
K,R_NFT36,583,QDMHXFMKFQWMNUF,4550,197,BNSCSXOJWAFTTVS
H,O_Um421,54,EYDZXNGJGPZNZVI,1471,210,LCZQWSYFTCTBQUI
E,K_12M34,826,GJBZRUMIQLQFNCZ,3809,121,WWICVCDUHUKZAWN
H,O_Um421,662,ODFURYFINNMQPUJ,4172,209,OXMMZOZDYYWVGJG
B,T_Fe134,149,LFUFLBFHQUOERLG,2514,121,WWICVCDUHUKZAWN
K,R_NFT36,64,WWDVEEYMDMTQDAH,2381,181,CBKMUWJEKWNROTY
A,X_10fMM,952,VURNASZCCMBGFMH,4695,149,BGRMWMMUMEFOBGL
B,T_Fe134,491,HWIQNNMEKJRBPGP,2471,197,BNSCSXOJWAFTTVS
G,U_oAo12,469,GCCIJFZZLUSNZKR,2963,162,KAQZSSKPPWRORYW
K,R_NFT36,337,GWZQDWLWEPCDWMX,2952,162,KAQZSSKPPWRORYW
F,T_xEfV1,148,NOCWJPTSKUMKXVK,3757,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,650,UWIGXJDOHPGZKOC,1707,198,UHNHONUHHZTFLGT
H,O_Um421,546,AASZXWXFJTNTKNX,2657,174,JIBGCETMMPEQHUC
E,K_12M34,60,QEBBIPDXWRCHGSK,3229,198,UHNHONUHHZTFLGT
F,T_xEfV1,138,WWWKZNUKKOCVLDA,4139,181,CBKMUWJEKWNROTY
A,X_10fMM,568,HFPDEYWZGYHHSJP,4268,121,WWICVCDUHUKZAWN
C,X_MM42e,64,WWDVEEYMDMTQDAH,1599,208,DPQLFVEHBGGKXGX
K,R_NFT36,159,KBCJRMNZUDVGIQH,4180,215,QWJKGTTBATEWAHN
B,T_Fe134,518,FOLRHQUMXSELBYM,2979,112,INOMZYINCCISUCQ
E,K_12M34,148,NOCWJPTSKUMKXVK,3550,181,CBKMUWJEKWNROTY
E,K_12M34,785,RPCNHBECGNSCRLO,3768,215,QWJKGTTBATEWAHN
K,R_NFT36,443,LLWUUQCYEXLUAIB,3007,181,CBKMUWJEKWNROTY
G,U_oAo12,606,RRRGXLFJSGOHCYW,4214,121,WWICVCDUHUKZAWN
H,O_Um421,810,PGYACUGIRYNMCBE,4699,181,CBKMUWJEKWNROTY
H,O_Um421,842,GSZBCXTCEOPTAFO,3415,197,BNSCSXOJWAFTTVS
K,R_NFT36,142,XVRRJLDRBCRUBVU,4860,181,CBKMUWJEKWNROTY
F,T_xEfV1,150,EPGRUBMPZPBYLHC,1606,215,QWJKGTTBATEWAHN
C,X_MM42e,385,NHYVTTIDXFYADCF,3181,121,WWICVCDUHUKZAWN
D,Y_A13Fm,518,FOLRHQUMXSELBYM,4488,210,LCZQWSYFTCTBQUI
C,X_MM42e,595,TBAWQGLWABDNIIX,4146,121,WWICVCDUHUKZAWN
D,Y_A13Fm,163,WJEQCQKJKVCRYMJ,1797,208,DPQLFVEHBGGKXGX
B,T_Fe134,582,VIYZJRMURLLANOL,4164,208,DPQLFVEHBGGKXGX
A,X_10fMM,150,EPGRUBMPZPBYLHC,2380,210,LCZQWSYFTCTBQUI
G,U_oAo12,990,JAHPMDXMTWJIEDT,2772,174,JIBGCETMMPEQHUC
E,K_12M34,419,OHXGDSVDHPGJGAO,2994,179,PKOSWZVLMXMTLZW
K,R_NFT36,100,KHVFQKBBTJPBMQP,3182,153,OLNSTYUIIIGYSSL
A,X_10fMM,473,RJWQPBLKMLUAIMZ,1990,149,BGRMWMMUMEFOBGL
F,T_xEfV1,643,HOSFKFOMXMCHXPL,1568,181,CBKMUWJEKWNROTY
F,T_xEfV1,113,JXFGSVBQNNEUMCJ,2860,153,OLNSTYUIIIGYSSL
A,X_10fMM,125,RVFYFMPWBZNWCQK,3961,171,WOTRJPNMGQSJCKW
C,X_MM42e,15,VCQKRGUMIWDESRW,2516,208,DPQLFVEHBGGKXGX
H,O_Um421,729,LJGOQBMPLTAWZHD,4483,215,QWJKGTTBATEWAHN
E,K_12M34,967,SHRIEJKCRXAXKPY,4109,162,KAQZSSKPPWRORYW
C,X_MM42e,159,KBCJRMNZUDVGIQH,2178,215,QWJKGTTBATEWAHN
A,X_10fMM,64,WWDVEEYMDMTQDAH,1864,179,PKOSWZVLMXMTLZW
A,X_10fMM,347,PAVNWKHMTBVVNWB,3630,174,JIBGCETMMPEQHUC
C,X_MM42e,15,VCQKRGUMIWDESRW,1192,121,WWICVCDUHUKZAWN
F,T_xEfV1,14,OOMARJWTOWJFXLM,1075,174,JIBGCETMMPEQHUC
F,T_xEfV1,758,CDSHIUCJMSVSCEJ,2202,174,JIBGCETMMPEQHUC
D,Y_A13Fm,669,NOQPNJDENANCVAR,1667,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,674,AFNIOPRUNAKVQOO,3800,181,CBKMUWJEKWNROTY
H,O_Um421,838,ZLOCESNXHIZOOUL,1632,209,OXMMZOZDYYWVGJG
K,R_NFT36,125,RVFYFMPWBZNWCQK,4305,112,INOMZYINCCISUCQ
F,T_xEfV1,606,RRRGXLFJSGOHCYW,4126,149,BGRMWMMUMEFOBGL
K,R_NFT36,368,HXUBRLHKGOBUJKR,1458,210,LCZQWSYFTCTBQUI
E,K_12M34,96,TDGZPEQTLFGJQCV,4054,149,BGRMWMMUMEFOBGL
F,T_xEfV1,419,OHXGDSVDHPGJGAO,2241,210,LCZQWSYFTCTBQUI
G,U_oAo12,669,NOQPNJDENANCVAR,3211,215,QWJKGTTBATEWAHN
K,R_NFT36,852,WJILXXFLHVEIIVG,1432,198,UHNHONUHHZTFLGT
F,T_xEfV1,84,HLLIUTIMRUMRQDK,4580,198,UHNHONUHHZTFLGT
K,R_NFT36,81,ODZTDFJYPUEVZXZ,4327,121,WWICVCDUHUKZAWN
E,K_12M34,81,ODZTDFJYPUEVZXZ,4085,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,827,HBCWMFSNHTNNSOF,1546,121,WWICVCDUHUKZAWN
D,Y_A13Fm,669,NOQPNJDENANCVAR,4792,208,DPQLFVEHBGGKXGX
F,T_xEfV1,669,NOQPNJDENANCVAR,2408,112,INOMZYINCCISUCQ
H,O_Um421,606,RRRGXLFJSGOHCYW,2657,215,QWJKGTTBATEWAHN
E,K_12M34,838,ZLOCESNXHIZOOUL,4927,208,DPQLFVEHBGGKXGX
K,R_NFT36,60,QEBBIPDXWRCHGSK,3365,197,BNSCSXOJWAFTTVS
H,O_Um421,413,BYLODPSXBFMLHFU,2684,210,LCZQWSYFTCTBQUI
A,X_10fMM,606,RRRGXLFJSGOHCYW,3031,209,OXMMZOZDYYWVGJG
F,T_xEfV1,136,ABVXFPLEMVOTBRQ,1533,198,UHNHONUHHZTFLGT
C,X_MM42e,347,PAVNWKHMTBVVNWB,4525,153,OLNSTYUIIIGYSSL
B,T_Fe134,347,PAVNWKHMTBVVNWB,4286,210,LCZQWSYFTCTBQUI
G,U_oAo12,148,NOCWJPTSKUMKXVK,1048,181,CBKMUWJEKWNROTY
D,Y_A13Fm,35,PSSVRABNAOGNKCP,2848,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,967,SHRIEJKCRXAXKPY,4806,181,CBKMUWJEKWNROTY
B,T_Fe134,650,UWIGXJDOHPGZKOC,2720,215,QWJKGTTBATEWAHN
G,U_oAo12,838,ZLOCESNXHIZOOUL,3507,215,QWJKGTTBATEWAHN
